Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1977,5,-0.082,,-0.092,-0.079,-0.104,
1977,6,-0.076,,-0.091,-0.078,-0.103,
1977,7,-0.052,,-0.090,-0.077,-0.103,
1977,8,-0.085,,-0.089,-0.076,-0.102,
1977,9,-0.069,,-0.088,-0.075,-0.101,
1977,10,0.092,,-0.087,-0.074,-0.100,
1977,11,-0.092,,-0.086,-0.074,-0.099,
1977,12,-0.212,,-0.085,-0.073,-0.098,
1978,1,-0.137,,-0.085,-0.072,-0.097,
1978,2,0.080,,-0.084,-0.071,-0.096,
1978,3,-0.044,,-0.083,-0.070,-0.096,
1978,4,-0.112,,-0.082,-0.069,-0.095,
1978,5,-0.051,,-0.081,-0.068,-0.094,
1978,6,-0.153,,-0.080,-0.067,-0.093,
1978,7,-0.119,,-0.079,-0.066,-0.092,
1978,8,-0.085,,-0.078,-0.065,-0.091,
1978,9,-0.020,,-0.077,-0.064,-0.091,
1978,10,-0.033,,-0.077,-0.063,-0.090,
1978,11,-0.202,,-0.076,-0.062,-0.089,
1978,12,-0.194,,-0.075,-0.062,-0.088,
1979,1,-0.168,,-0.074,-0.061,-0.087,
1979,2,-0.134,,-0.073,-0.060,-0.086,
1979,3,-0.065,,-0.072,-0.059,-0.085,
1979,4,-0.218,,-0.071,-0.058,-0.085,
1979,5,-0.079,,-0.070,-0.057,-0.084,
1979,6,-0.101,,-0.069,-0.056,-0.083,
1979,7,-0.037,,-0.069,-0.055,-0.082,
1979,8,-0.125,,-0.068,-0.054,-0.081,
1979,9,-0.029,,-0.067,-0.053,-0.080,
1979,10,0.031,,-0.066,-0.052,-0.080,
1979,11,-0.019,,-0.065,-0.051,-0.079,
1979,12,-0.081,,-0.064,-0.050,-0.078,
1980,1,-0.095,,-0.063,-0.049,-0.077,
1980,2,0.028,,-0.062,-0.048,-0.076,
1980,3,-0.041,,-0.061,-0.047,-0.075,
1980,4,0.087,,-0.061,-0.046,-0.075,
1980,5,-0.066,,-0.060,-0.046,-0.074,
1980,6,-0.128,,-0.059,-0.045,-0.073,
1980,7,-0.082,,-0.058,-0.044,-0.072,
1980,8,-0.128,,-0.057,-0.043,-0.071,
1980,9,-0.118,,-0.056,-0.042,-0.071,
1980,10,0.006,,-0.055,-0.041,-0.070,
1980,11,0.055,,-0.054,-0.040,-0.069,
1980,12,-0.124,,-0.053,-0.039,-0.068,
1981,1,0.119,,-0.053,-0.038,-0.067,
1981,2,-0.040,,-0.052,-0.037,-0.067,
1981,3,0.030,,-0.051,-0.036,-0.066,
1981,4,-0.072,,-0.050,-0.035,-0.065,
1981,5,-0.045,,-0.049,-0.034,-0.064,
1981,6,0.003,,-0.048,-0.033,-0.063,
1981,7,-0.094,,-0.047,-0.032,-0.063,
1981,8,-0.012,,-0.046,-0.031,-0.062,
1981,9,0.016,,-0.045,-0.030,-0.061,
1981,10,-0.079,,-0.045,-0.029,-0.060,
1981,11,0.086,,-0.044,-0.028,-0.059,
1981,12,-0.005,,-0.043,-0.027,-0.059,
1982,1,-0.159,,-0.042,-0.026,-0.058,
1982,2,-0.192,,-0.041,-0.025,-0.057,
1982,3,-0.086,,-0.040,-0.024,-0.056,
1982,4,0.007,,-0.039,-0.023,-0.055,
1982,5,-0.079,,-0.038,-0.022,-0.055,
1982,6,-0.113,,-0.037,-0.021,-0.054,
1982,7,-0.082,,-0.037,-0.020,-0.053,
1982,8,-0.119,,-0.036,-0.019,-0.052,
1982,9,-0.054,,-0.035,-0.018,-0.051,
1982,10,-0.045,,-0.034,-0.017,-0.051,
1982,11,-0.052,,-0.033,-0.016,-0.050,
1982,12,0.044,,-0.032,-0.015,-0.049,
1983,1,0.140,,-0.031,-0.014,-0.048,
1983,2,0.205,,-0.030,-0.013,-0.047,
1983,3,0.011,,-0.030,-0.012,-0.047,
1983,4,-0.057,,-0.029,-0.011,-0.046,
1983,5,-0.005,,-0.028,-0.010,-0.045,
1983,6,0.018,,-0.027,-0.009,-0.044,
1983,7,0.034,,-0.026,-0.008,-0.044,
1983,8,0.074,,-0.025,-0.007,-0.043,
1983,9,-0.026,,-0.024,-0.006,-0.042,
1983,10,-0.009,,-0.023,-0.005,-0.041,
1983,11,0.074,,-0.022,-0.004,-0.040,
1983,12,-0.255,,-0.022,-0.003,-0.040,
1984,1,-0.073,,-0.021,-0.002,-0.039,
1984,2,0.117,,-0.020,-0.001,-0.038,
1984,3,0.066,,-0.019,-0.000,-0.037,
1984,4,0.044,,-0.018,0.001,-0.037,
1984,5,0.004,,-0.017,0.002,-0.036,
1984,6,0.018,,-0.016,0.003,-0.035,
1984,7,0.015,,-0.015,0.004,-0.034,
1984,8,0.010,,-0.014,0.005,-0.034,
1984,9,0.001,,-0.014,0.006,-0.033,
1984,10,-0.027,,-0.013,0.007,-0.032,
1984,11,0.013,,-0.012,0.008,-0.031,
1984,12,-0.108,,-0.011,0.009,-0.030,
1985,1,-0.006,,-0.010,0.010,-0.030,
1985,2,-0.110,,-0.009,0.011,-0.029,
1985,3,-0.062,,-0.008,0.012,-0.028,
1985,4,0.010,,-0.007,0.013,-0.027,
1985,5,-0.042,,-0.006,0.014,-0.027,
1985,6,0.003,,-0.006,0.015,-0.026,
1985,7,-0.085,,-0.005,0.016,-0.025,
1985,8,-0.119,,-0.004,0.017,-0.024,
1985,9,-0.154,,-0.003,0.018,-0.024,
1985,10,-0.079,,-0.002,0.019,-0.023,
1985,11,-0.330,,-0.001,0.020,-0.022,
1985,12,-0.096,,-0.000,0.021,-0.021,
1986,1,0.158,,0.001,0.022,-0.020,
1986,2,-0.046,,0.002,0.023,-0.020,
1986,3,0.048,,0.002,0.024,-0.019,
1986,4,-0.048,,0.003,0.025,-0.018,
1986,5,0.010,,0.004,0.026,-0.017,
1986,6,-0.031,,0.005,0.027,-0.017,
1986,7,-0.070,,0.006,0.028,-0.016,
1986,8,-0.043,,0.007,0.029,-0.015,
1986,9,-0.203,,0.008,0.030,-0.014,
1986,10,-0.091,,0.009,0.031,-0.014,
1986,11,-0.031,,0.010,0.032,-0.013,
1986,12,0.068,,0.010,0.033,-0.012,
1987,1,0.137,,0.011,0.034,-0.011,
1987,2,0.111,,0.012,0.035,-0.011,
1987,3,-0.016,,0.013,0.036,-0.010,
1987,4,0.080,,0.014,0.037,-0.009,
1987,5,0.077,,0.015,0.038,-0.008,
1987,6,0.109,,0.016,0.039,-0.008,
1987,7,-0.027,,0.017,0.040,-0.007,
1987,8,-0.122,,0.018,0.041,-0.006,
1987,9,0.038,,0.018,0.042,-0.005,
1987,10,-0.012,,0.019,0.043,-0.005,
1987,11,0.101,,0.020,0.044,-0.004,
1987,12,0.075,,0.021,0.045,-0.003,
1988,1,0.024,,0.022,0.046,-0.002,
1988,2,0.028,,0.023,0.047,-0.002,
1988,3,0.054,,0.010,0.032,-0.012,
1988,4,0.090,,0.010,0.031,-0.012,
1988,5,0.077,,0.010,0.031,-0.012,
1988,6,0.079,,0.010,0.031,-0.011,
1988,7,0.027,,0.010,0.031,-0.011,
1988,8,0.062,,0.010,0.031,-0.011,
1988,9,-0.014,,0.010,0.031,-0.011,
1988,10,-0.009,,0.010,0.031,-0.011,
1988,11,0.116,,0.010,0.030,-0.011,
1988,12,-0.014,,0.009,0.030,-0.011,
1989,1,-0.043,,0.009,0.030,-0.011,
1989,2,-0.366,,0.009,0.030,-0.011,
1989,3,-0.028,,0.009,0.030,-0.011,
1989,4,-0.072,,0.009,0.030,-0.011,
1989,5,-0.005,,0.009,0.030,-0.011,
1989,6,-0.000,,0.009,0.029,-0.011,
1989,7,-0.015,,0.009,0.029,-0.011,
1989,8,-0.055,,0.009,0.029,-0.011,
1989,9,-0.057,,0.009,0.029,-0.011,
1989,10,-0.015,,0.009,0.029,-0.011,
1989,11,-0.058,,0.009,0.029,-0.011,
1989,12,-0.023,,0.009,0.029,-0.011,
1990,1,-0.025,,0.009,0.028,-0.011,
1990,2,-0.055,,0.009,0.028,-0.011,
1990,3,0.008,,0.009,0.028,-0.011,
1990,4,-0.072,,0.009,0.028,-0.011,
1990,5,-0.051,,0.008,0.028,-0.011,
1990,6,0.042,,0.008,0.028,-0.011,
1990,7,0.006,,0.008,0.028,-0.011,
1990,8,0.044,,0.008,0.027,-0.011,
1990,9,0.026,,0.008,0.027,-0.011,
1990,10,-0.003,,0.008,0.027,-0.011,
1990,11,-0.098,,0.008,0.027,-0.011,
1990,12,-0.191,,0.008,0.027,-0.011,
1991,1,-0.211,,0.008,0.027,-0.011,
1991,2,0.031,,0.008,0.027,-0.011,
1991,3,-0.077,,0.008,0.026,-0.011,
1991,4,-0.005,,0.008,0.026,-0.011,
1991,5,-0.015,,0.008,0.026,-0.011,
1991,6,-0.049,,0.008,0.026,-0.011,
1991,7,-0.021,,0.008,0.026,-0.011,
1991,8,0.077,,0.008,0.026,-0.011,
1991,9,0.019,,0.008,0.026,-0.011,
1991,10,-0.100,,0.007,0.026,-0.011,
1991,11,0.074,,0.007,0.025,-0.011,
1991,12,0.108,,0.007,0.025,-0.011,
1992,1,0.228,,0.007,0.025,-0.011,
1992,2,0.199,,0.007,0.025,-0.010,
1992,3,0.072,,0.007,0.025,-0.010,
1992,4,0.087,,0.007,0.025,-0.010,
1992,5,0.004,,0.007,0.025,-0.010,
1992,6,0.012,,0.007,0.024,-0.010,
1992,7,0.027,,0.007,0.024,-0.010,
1992,8,0.040,,0.007,0.024,-0.010,
1992,9,-0.008,,0.007,0.024,-0.010,
1992,10,-0.000,,0.007,0.024,-0.010,
1992,11,0.077,,0.007,0.024,-0.010,
1992,12,-0.078,,0.007,0.024,-0.010,
1993,1,-0.092,,0.007,0.023,-0.010,
1993,2,0.016,,0.007,0.023,-0.010,
1993,3,0.060,,0.006,0.023,-0.010,
1993,4,0.111,,0.006,0.023,-0.010,
1993,5,0.098,,0.006,0.023,-0.010,
1993,6,0.070,,0.006,0.023,-0.010,
1993,7,-0.043,,0.006,0.023,-0.010,
1993,8,-0.040,,0.006,0.023,-0.010,
1993,9,-0.136,,0.006,0.022,-0.010,
1993,10,-0.070,,0.006,0.022,-0.010,
1993,11,-0.119,,0.006,0.022,-0.010,
1993,12,0.075,,0.006,0.022,-0.010,
1994,1,-0.022,,0.006,0.022,-0.010,
1994,2,-0.030,,0.006,0.022,-0.010,
1994,3,0.048,,0.006,0.022,-0.010,
1994,4,0.017,,0.006,0.021,-0.010,
1994,5,0.083,,0.006,0.021,-0.010,
1994,6,0.051,,0.006,0.021,-0.010,
1994,7,-0.019,,0.006,0.021,-0.010,
1994,8,-0.100,,0.005,0.021,-0.010,
1994,9,0.024,,0.005,0.021,-0.010,
1994,10,0.042,,0.005,0.021,-0.010,
1994,11,-0.043,,0.005,0.021,-0.010,
1994,12,0.063,,0.005,0.020,-0.010,
1995,1,0.035,,0.005,0.020,-0.010,
1995,2,-0.063,,0.005,0.020,-0.010,
1995,3,-0.037,,0.005,0.020,-0.010,
1995,4,-0.016,,0.005,0.020,-0.010,
1995,5,-0.053,,0.005,0.020,-0.010,
1995,6,0.001,,0.005,0.020,-0.010,
1995,7,0.018,,0.005,0.020,-0.010,
1995,8,0.005,,0.005,0.019,-0.010,
1995,9,0.024,,0.005,0.019,-0.010,
1995,10,0.056,,0.005,0.019,-0.010,
1995,11,-0.022,,0.005,0.019,-0.010,
1995,12,0.007,,0.005,0.019,-0.010,
1996,1,-0.128,,0.004,0.019,-0.010,
1996,2,-0.021,,0.004,0.019,-0.010,
1996,3,-0.163,,0.004,0.019,-0.010,
1996,4,0.042,,0.004,0.018,-0.010,
1996,5,-0.073,,0.004,0.018,-0.010,
1996,6,-0.017,,0.004,0.018,-0.010,
1996,7,-0.064,,0.004,0.018,-0.010,
1996,8,-0.003,,0.004,0.018,-0.010,
1996,9,-0.014,,0.004,0.018,-0.010,
1996,10,-0.033,,0.004,0.018,-0.010,
1996,11,-0.165,,0.004,0.018,-0.010,
1996,12,-0.029,,0.004,0.017,-0.010,
1997,1,-0.008,,0.004,0.017,-0.010,
1997,2,0.034,,0.004,0.017,-0.010,
1997,3,-0.021,,0.004,0.017,-0.010,
1997,4,-0.040,,0.004,0.017,-0.010,
1997,5,-0.064,,0.004,0.017,-0.010,
1997,6,0.054,,0.003,0.017,-0.010,
1997,7,0.080,,0.003,0.017,-0.010,
1997,8,0.019,,0.003,0.017,-0.010,
1997,9,0.078,,0.003,0.016,-0.010,
1997,10,0.023,,0.003,0.016,-0.010,
1997,11,0.141,,0.003,0.016,-0.010,
1997,12,0.229,,0.003,0.016,-0.010,
1998,1,0.137,,0.003,0.016,-0.010,
1998,2,0.295,,0.003,0.016,-0.010,
1998,3,-0.028,,0.003,0.016,-0.010,
1998,4,0.024,,0.003,0.016,-0.010,
1998,5,0.007,,0.003,0.016,-0.010,
1998,6,-0.084,,0.003,0.015,-0.010,
1998,7,-0.018,,0.003,0.015,-0.010,
1998,8,-0.018,,0.003,0.015,-0.010,
1998,9,-0.013,,0.003,0.015,-0.010,
1998,10,-0.037,,0.003,0.015,-0.010,
1998,11,0.018,,0.002,0.015,-0.010,
1998,12,-0.034,,0.002,0.015,-0.010,
1999,1,-0.079,,0.002,0.015,-0.010,
1999,2,0.109,,0.002,0.015,-0.010,
1999,3,0.048,,0.002,0.014,-0.010,
1999,4,-0.057,,0.002,0.014,-0.010,
1999,5,0.008,,0.002,0.014,-0.010,
1999,6,-0.006,,0.002,0.014,-0.010,
1999,7,-0.050,,0.002,0.014,-0.010,
1999,8,0.002,,0.002,0.014,-0.010,
1999,9,0.026,,0.002,0.014,-0.010,
1999,10,-0.017,,0.002,0.014,-0.010,
1999,11,0.113,,0.002,0.014,-0.010,
1999,12,0.002,,0.002,0.014,-0.010,
2000,1,-0.053,,0.002,0.013,-0.010,
2000,2,0.009,,0.002,0.013,-0.010,
2000,3,0.090,,0.002,0.013,-0.010,
2000,4,0.006,,0.001,0.013,-0.010,
2000,5,0.019,,0.001,0.013,-0.010,
2000,6,-0.013,,0.001,0.013,-0.010,
2000,7,0.015,,0.001,0.013,-0.010,
2000,8,-0.031,,0.001,0.013,-0.010,
2000,9,-0.015,,0.001,0.013,-0.010,
2000,10,0.038,,0.001,0.013,-0.010,
2000,11,-0.055,,0.001,0.012,-0.010,
2000,12,-0.047,,0.001,0.012,-0.010,
2001,1,0.177,,0.001,0.012,-0.010,
2001,2,-0.085,,0.001,0.012,-0.010,
2001,3,0.053,,0.001,0.012,-0.011,
2001,4,-0.009,,0.001,0.012,-0.011,
2001,5,0.077,,0.001,0.012,-0.011,
2001,6,-0.008,,0.001,0.012,-0.011,
2001,7,0.009,,0.001,0.012,-0.011,
2001,8,0.042,,0.001,0.012,-0.011,
2001,9,0.087,,0.000,0.012,-0.011,
2001,10,0.010,,0.000,0.012,-0.011,
2001,11,0.054,,0.000,0.011,-0.011,
2001,12,0.045,,0.000,0.011,-0.011,
2002,1,0.054,,0.000,0.011,-0.011,
2002,2,0.019,,0.000,0.011,-0.011,
2002,3,-0.149,,0.000,0.011,-0.011,
2002,4,-0.189,,0.000,0.011,-0.011,
2002,5,-0.115,,-0.000,0.011,-0.011,
2002,6,0.009,,-0.000,0.011,-0.011,
2002,7,0.012,,-0.000,0.011,-0.011,
2002,8,0.012,,-0.000,0.011,-0.011,
2002,9,-0.005,,-0.000,0.011,-0.011,
2002,10,-0.067,,-0.000,0.011,-0.011,
2002,11,0.138,,-0.000,0.011,-0.011,
2002,12,0.191,,-0.000,0.010,-0.011,
2003,1,0.159,,-0.000,0.010,-0.011,
2003,2,-0.049,,-0.001,0.010,-0.011,
2003,3,0.016,,-0.001,0.010,-0.011,
2003,4,0.034,,-0.001,0.010,-0.012,
2003,5,0.031,,-0.001,0.010,-0.012,
2003,6,-0.001,,-0.001,0.010,-0.012,
2003,7,0.030,,-0.001,0.010,-0.012,
2003,8,0.032,,-0.001,0.010,-0.012,
2003,9,0.042,,-0.001,0.010,-0.012,
2003,10,0.032,,-0.001,0.010,-0.012,
2003,11,-0.091,,-0.001,0.010,-0.012,
2003,12,0.153,,-0.001,0.010,-0.012,
2004,1,0.006,,-0.001,0.010,-0.012,
2004,2,0.100,,-0.001,0.010,-0.012,
2004,3,0.004,,-0.001,0.009,-0.012,
2004,4,0.024,,-0.001,0.009,-0.012,
2004,5,-0.051,,-0.001,0.009,-0.012,
2004,6,-0.020,,-0.001,0.009,-0.012,
2004,7,0.026,,-0.002,0.009,-0.012,
2004,8,-0.032,,-0.002,0.009,-0.012,
2004,9,0.040,,-0.002,0.009,-0.012,
2004,10,-0.010,,-0.002,0.009,-0.013,
2004,11,-0.033,,-0.002,0.009,-0.013,
2004,12,-0.039,,-0.002,0.009,-0.013,
2005,1,-0.083,,-0.002,0.009,-0.013,
2005,2,-0.018,,-0.002,0.009,-0.013,
2005,3,0.053,,-0.002,0.009,-0.013,
2005,4,0.038,,-0.002,0.009,-0.013,
2005,5,0.076,,-0.002,0.009,-0.013,
2005,6,-0.000,,-0.002,0.009,-0.013,
2005,7,0.094,,-0.002,0.009,-0.013,
2005,8,0.055,,-0.002,0.009,-0.013,
2005,9,0.018,,-0.002,0.009,-0.013,
2005,10,0.080,,-0.002,0.009,-0.013,
2005,11,0.073,,-0.002,0.009,-0.013,
2005,12,0.141,,-0.003,0.008,-0.014,
2006,1,0.153,,-0.003,0.008,-0.014,
2006,2,-0.058,,-0.003,0.008,-0.014,
2006,3,0.000,,-0.003,0.008,-0.014,
2006,4,0.110,,-0.003,0.008,-0.014,
2006,5,0.032,,-0.003,0.008,-0.014,
2006,6,0.037,,-0.003,0.008,-0.014,
2006,7,-0.002,,-0.003,0.008,-0.014,
2006,8,0.073,,-0.003,0.008,-0.014,
2006,9,0.033,,-0.003,0.008,-0.014,
2006,10,-0.053,,-0.003,0.008,-0.014,
2006,11,-0.040,,-0.003,0.008,-0.014,
2006,12,0.182,,-0.003,0.008,-0.015,
2007,1,-0.039,,-0.003,0.008,-0.015,
2007,2,-0.076,,-0.003,0.008,-0.015,
2007,3,-0.003,,-0.003,0.008,-0.015,
2007,4,0.004,,-0.003,0.008,-0.015,
2007,5,-0.014,,-0.004,0.008,-0.015,
2007,6,-0.021,,-0.004,0.008,-0.015,
2007,7,0.045,,-0.004,0.008,-0.015,
2007,8,-0.034,,-0.004,0.008,-0.015,
2007,9,-0.033,,-0.004,0.008,-0.015,
2007,10,0.049,,-0.004,0.008,-0.015,
2007,11,0.013,,-0.004,0.008,-0.016,
2007,12,-0.005,,-0.004,0.008,-0.016,
2008,1,-0.008,,-0.004,0.008,-0.016,
2008,2,0.038,,-0.004,0.008,-0.016,
2008,3,0.050,,-0.004,0.008,-0.016,
2008,4,-0.084,,-0.004,0.008,-0.016,
2008,5,-0.011,,-0.004,0.008,-0.016,
2008,6,-0.015,,-0.004,0.008,-0.016,
2008,7,0.066,,-0.004,0.008,-0.016,
2008,8,0.095,,-0.004,0.008,-0.016,
2008,9,0.000,,-0.004,0.008,-0.017,
2008,10,0.018,,-0.005,0.008,-0.017,
2008,11,0.041,,-0.005,0.008,-0.017,
2008,12,-0.156,,-0.005,0.008,-0.017,
2009,1,-0.063,,-0.005,0.008,-0.017,
2009,2,-0.161,,-0.005,0.008,-0.017,
2009,3,-0.033,,-0.005,0.008,-0.017,
2009,4,-0.139,,-0.005,0.008,-0.017,
2009,5,-0.090,,-0.005,0.008,-0.017,
2009,6,-0.037,,-0.005,0.007,-0.018,
2009,7,-0.083,,-0.005,0.007,-0.018,
2009,8,-0.009,,-0.005,0.007,-0.018,
