Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.
1964,5,-0.289,,-0.230,-0.203,-0.257,
1964,6,-0.244,,-0.229,-0.202,-0.256,
1964,7,-0.168,,-0.228,-0.201,-0.255,
1964,8,-0.152,,-0.227,-0.201,-0.254,
1964,9,-0.270,,-0.227,-0.200,-0.253,
1964,10,-0.219,,-0.226,-0.199,-0.252,
1964,11,-0.216,,-0.225,-0.198,-0.251,
1964,12,-0.243,,-0.224,-0.198,-0.250,
1965,1,-0.253,,-0.223,-0.197,-0.249,
1965,2,-0.298,,-0.222,-0.196,-0.248,
1965,3,-0.354,,-0.221,-0.195,-0.247,
1965,4,-0.227,,-0.220,-0.195,-0.246,
1965,5,-0.246,,-0.219,-0.194,-0.245,
1965,6,-0.195,,-0.219,-0.193,-0.244,
1965,7,-0.226,,-0.218,-0.192,-0.243,
1965,8,-0.265,,-0.217,-0.192,-0.242,
1965,9,-0.352,,-0.216,-0.191,-0.241,
1965,10,-0.082,,-0.215,-0.190,-0.240,
1965,11,-0.207,,-0.214,-0.189,-0.239,
1965,12,-0.209,,-0.213,-0.189,-0.238,
1966,1,-0.232,,-0.212,-0.188,-0.237,
1966,2,-0.234,,-0.211,-0.187,-0.236,
1966,3,-0.117,,-0.211,-0.186,-0.235,
1966,4,-0.297,,-0.210,-0.186,-0.234,
1966,5,-0.146,,-0.209,-0.185,-0.233,
1966,6,-0.168,,-0.208,-0.184,-0.232,
1966,7,,,-0.207,-0.183,-0.231,
1966,8,,,-0.206,-0.183,-0.230,
1966,9,,,-0.205,-0.182,-0.229,
1966,10,,,-0.204,-0.181,-0.228,
1966,11,,,-0.203,-0.180,-0.227,
1966,12,,,-0.203,-0.180,-0.226,
1967,1,-0.220,,-0.202,-0.179,-0.224,
1967,2,-0.183,,-0.201,-0.178,-0.223,
1967,3,-0.339,,-0.200,-0.177,-0.222,
1967,4,-0.337,,-0.199,-0.177,-0.221,
1967,5,-0.204,,-0.198,-0.176,-0.220,
1967,6,-0.241,,-0.197,-0.175,-0.219,
1967,7,-0.150,,-0.196,-0.174,-0.218,
1967,8,-0.152,,-0.195,-0.174,-0.217,
1967,9,-0.014,,-0.195,-0.173,-0.216,
1967,10,-0.137,,-0.194,-0.172,-0.215,
1967,11,-0.256,,-0.193,-0.171,-0.214,
1967,12,-0.209,,-0.192,-0.170,-0.213,
1968,1,-0.271,,-0.191,-0.170,-0.212,
1968,2,-0.097,,-0.190,-0.169,-0.211,
1968,3,,,-0.189,-0.168,-0.210,
1968,4,,,-0.188,-0.167,-0.209,
1968,5,,,-0.187,-0.167,-0.208,
1968,6,,,-0.187,-0.166,-0.207,
1968,7,,,-0.186,-0.165,-0.206,
1968,8,,,-0.185,-0.164,-0.205,
1968,9,,,-0.184,-0.164,-0.204,
1968,10,,,-0.183,-0.163,-0.203,
1968,11,,,-0.182,-0.162,-0.202,
1968,12,,,-0.181,-0.161,-0.201,
1969,1,,,-0.180,-0.161,-0.200,
1969,2,,,-0.179,-0.160,-0.199,
1969,3,,,-0.179,-0.159,-0.198,
1969,4,,,-0.178,-0.158,-0.197,
1969,5,,,-0.177,-0.157,-0.196,
1969,6,,,-0.176,-0.157,-0.195,
1969,7,,,-0.175,-0.156,-0.194,
1969,8,,,-0.174,-0.155,-0.193,
1969,9,,,-0.173,-0.154,-0.192,
1969,10,,,-0.172,-0.154,-0.191,
1969,11,,,-0.171,-0.153,-0.190,
1969,12,,,-0.171,-0.152,-0.189,
1970,1,-0.156,,-0.170,-0.151,-0.188,
1970,2,-0.122,,-0.169,-0.151,-0.187,
1970,3,-0.135,,-0.168,-0.150,-0.186,
1970,4,-0.175,,-0.167,-0.149,-0.185,
1970,5,-0.146,,-0.166,-0.148,-0.184,
1970,6,-0.147,,-0.165,-0.147,-0.183,
1970,7,-0.098,,-0.164,-0.147,-0.182,
1970,8,-0.106,,-0.164,-0.146,-0.181,
1970,9,-0.188,,-0.163,-0.145,-0.180,
1970,10,-0.168,,-0.162,-0.144,-0.179,
1970,11,-0.238,,-0.161,-0.144,-0.178,
1970,12,-0.157,,-0.160,-0.143,-0.177,
1971,1,-0.302,,-0.159,-0.142,-0.176,
1971,2,-0.180,,-0.158,-0.141,-0.175,
1971,3,-0.150,,-0.157,-0.140,-0.174,
1971,4,-0.032,,-0.156,-0.140,-0.173,
1971,5,-0.103,,-0.156,-0.139,-0.172,
1971,6,-0.174,,-0.155,-0.138,-0.171,
1971,7,-0.168,,-0.154,-0.137,-0.170,
1971,8,-0.076,,-0.153,-0.136,-0.169,
1971,9,-0.112,,-0.152,-0.136,-0.168,
1971,10,-0.137,,-0.151,-0.135,-0.167,
1971,11,-0.192,,-0.150,-0.134,-0.166,
1971,12,-0.273,,-0.149,-0.133,-0.165,
1972,1,-0.326,,-0.148,-0.133,-0.164,
1972,2,-0.186,,-0.148,-0.132,-0.163,
1972,3,-0.162,,-0.147,-0.131,-0.162,
1972,4,-0.139,,-0.146,-0.130,-0.161,
1972,5,-0.191,,-0.145,-0.129,-0.160,
1972,6,-0.128,,-0.144,-0.129,-0.159,
1972,7,-0.165,,-0.143,-0.128,-0.158,
1972,8,-0.061,,-0.142,-0.127,-0.157,
1972,9,-0.188,,-0.141,-0.126,-0.156,
1972,10,-0.241,,-0.140,-0.125,-0.156,
1972,11,-0.113,,-0.140,-0.125,-0.155,
1972,12,-0.182,,-0.139,-0.124,-0.154,
1973,1,-0.119,,-0.138,-0.123,-0.153,
1973,2,-0.158,,-0.137,-0.122,-0.152,
1973,3,-0.050,,-0.136,-0.121,-0.151,
1973,4,-0.178,,-0.135,-0.121,-0.150,
1973,5,-0.070,,-0.134,-0.120,-0.149,
1973,6,-0.083,,-0.133,-0.119,-0.148,
1973,7,-0.159,,-0.132,-0.118,-0.147,
1973,8,-0.158,,-0.132,-0.117,-0.146,
1973,9,-0.142,,-0.131,-0.116,-0.145,
1973,10,-0.110,,-0.130,-0.116,-0.144,
1973,11,-0.277,,-0.129,-0.115,-0.143,
1973,12,-0.099,,-0.128,-0.114,-0.142,
1974,1,-0.247,,-0.127,-0.113,-0.141,
1974,2,-0.082,,-0.126,-0.112,-0.140,
1974,3,-0.159,,-0.125,-0.112,-0.139,
1974,4,-0.081,,-0.124,-0.111,-0.138,
1974,5,-0.097,,-0.124,-0.110,-0.137,
1974,6,-0.076,,-0.123,-0.109,-0.136,
1974,7,-0.140,,-0.122,-0.108,-0.135,
1974,8,-0.228,,-0.121,-0.107,-0.134,
1974,9,-0.151,,-0.120,-0.107,-0.134,
1974,10,-0.036,,-0.119,-0.106,-0.133,
1974,11,-0.028,,-0.118,-0.105,-0.132,
1974,12,0.014,,-0.117,-0.104,-0.131,
1975,1,-0.171,,-0.116,-0.103,-0.130,
1975,2,-0.101,,-0.116,-0.102,-0.129,
1975,3,-0.138,,-0.115,-0.102,-0.128,
1975,4,-0.139,,-0.114,-0.101,-0.127,
1975,5,-0.097,,-0.113,-0.100,-0.126,
1975,6,-0.150,,-0.112,-0.099,-0.125,
1975,7,-0.113,,-0.111,-0.098,-0.124,
1975,8,-0.104,,-0.110,-0.097,-0.123,
1975,9,-0.170,,-0.109,-0.096,-0.122,
1975,10,-0.076,,-0.108,-0.096,-0.121,
1975,11,-0.110,,-0.108,-0.095,-0.121,
1975,12,-0.194,,-0.107,-0.094,-0.120,
1976,1,-0.113,,-0.106,-0.093,-0.119,
1976,2,-0.155,,-0.105,-0.092,-0.118,
1976,3,-0.120,,-0.104,-0.091,-0.117,
1976,4,-0.044,,-0.103,-0.090,-0.116,
1976,5,0.019,,-0.102,-0.089,-0.115,
1976,6,-0.092,,-0.101,-0.089,-0.114,
1976,7,-0.013,,-0.100,-0.088,-0.113,
1976,8,-0.018,,-0.100,-0.087,-0.112,
1976,9,0.010,,-0.099,-0.086,-0.111,
1976,10,-0.073,,-0.098,-0.085,-0.111,
1976,11,0.019,,-0.097,-0.084,-0.110,
1976,12,0.004,,-0.096,-0.083,-0.109,
1977,1,-0.095,,-0.095,-0.082,-0.108,
1977,2,0.101,,-0.094,-0.082,-0.107,
1977,3,-0.056,,-0.093,-0.081,-0.106,
1977,4,-0.087,,-0.093,-0.080,-0.105,
